order_date_dateorders,daily_orders,daily_sales,daily_avg_benefit,daily_late_rate
2015-01-01 00:00:00,1,299.98,88.79,0.0
2015-01-01 00:21:00,3,579.98,65.3,0.0
2015-01-01 01:03:00,4,699.85,31.02,1.0
2015-01-01 01:24:00,5,1129.86,78.02,1.0
2015-01-01 02:06:00,3,579.92,67.98,1.0
2015-01-01 02:27:00,4,729.84,-9.92,0.0
2015-01-01 02:48:00,3,599.96,39.87,1.0
2015-01-01 03:09:00,5,651.92,18.74,1.0
2015-01-01 03:30:00,5,919.79,54.6,0.0
2015-01-01 03:51:00,5,1299.87,81.37,0.0
2015-01-01 04:12:00,1,127.96,47.09,0.0
2015-01-01 04:33:00,3,549.94,11.55,1.0
2015-01-01 04:54:00,5,925.91,-106.34,1.0
2015-01-01 05:15:00,2,419.93,32.92,0.0
2015-01-01 05:36:00,5,694.84,35.32,0.0
2015-01-01 05:57:00,3,449.96,50.66,0.0
2015-01-01 06:18:00,2,699.96,-248.31,1.0
2015-01-01 06:39:00,4,879.86,70.57,1.0
2015-01-01 07:00:00,4,372.91,13.54,1.0
2015-01-01 07:42:00,1,299.98,98.99,1.0
2015-01-01 08:03:00,5,829.97,-59.11,1.0
2015-01-01 08:24:00,1,399.98,0.0,1.0
2015-01-01 09:06:00,3,749.97,67.68,1.0
2015-01-01 09:27:00,5,1159.9,70.44,0.0
2015-01-01 09:48:00,5,1109.85,37.44,1.0
2015-01-01 10:09:00,1,100.0,19.8,1.0
2015-01-01 10:30:00,1,499.95,179.67,0.0
2015-01-01 11:12:00,4,659.89,-44.11,1.0
2015-01-01 11:33:00,1,299.98,131.12,1.0
2015-01-01 11:54:00,1,129.99,33.69,1.0
2015-01-01 12:15:00,3,799.96,57.87,0.0
2015-01-01 12:36:00,2,159.95,10.27,1.0
2015-01-01 12:57:00,2,359.96,59.3,1.0
2015-01-01 13:18:00,1,199.99,3.72,1.0
2015-01-01 14:00:00,2,327.88,29.31,1.0
2015-01-01 14:21:00,3,739.92,48.14,1.0
2015-01-01 14:42:00,3,529.96,1.6,1.0
2015-01-01 15:03:00,1,399.98,63.24,1.0
2015-01-01 15:24:00,4,499.85,24.39,1.0
2015-01-01 15:45:00,2,229.95,-97.25,0.0
2015-01-01 16:27:00,2,99.96,11.41,0.0
2015-01-01 16:49:00,3,549.95,68.61,1.0
2015-01-01 17:10:00,2,429.97,36.1,0.0
2015-01-01 17:31:00,2,449.98,42.37,0.0
2015-01-01 17:52:00,2,399.84,57.19,0.0
2015-01-01 19:16:00,3,699.89,49.09,0.0
2015-01-01 19:37:00,4,637.9,7.81,0.0
2015-01-01 19:58:00,5,799.94,63.56,0.0
2015-01-01 20:19:00,4,619.95,34.48,1.0
2015-01-01 21:01:00,3,639.92,16.64,0.0
2015-01-01 21:22:00,4,1149.94,59.17,0.0
2015-01-01 21:43:00,3,899.92,86.1,0.0
2015-01-01 22:04:00,5,659.97,-68.91,1.0
2015-01-01 22:25:00,1,299.98,19.8,1.0
2015-01-01 22:46:00,4,679.94,44.01,0.0
2015-01-01 23:07:00,1,150.0,-93.46,0.0
2015-01-01 23:28:00,1,299.98,66.42,0.0
2015-01-01 23:49:00,1,239.96,65.34,0.0
2015-01-02 00:10:00,3,629.96,26.91,1.0
2015-01-02 00:31:00,3,659.92,-40.58,0.0
2015-01-02 00:52:00,4,463.92,37.88,0.0
2015-01-02 01:13:00,5,1279.65,38.5,0.0
2015-01-02 01:34:00,1,119.98,43.19,1.0
2015-01-02 01:55:00,4,779.97,21.36,1.0
2015-01-02 02:37:00,5,729.89,-36.67,0.0
2015-01-02 04:01:00,4,649.83,40.2,0.0
2015-01-02 04:43:00,1,199.99,-296.99,0.0
2015-01-02 05:04:00,5,1499.87,-10.09,1.0
2015-01-02 06:07:00,1,119.97,-32.25,0.0
2015-01-02 06:28:00,2,279.93,26.93,0.0
2015-01-02 07:31:00,2,699.93,52.81,1.0
2015-01-02 07:52:00,1,199.92,58.48,1.0
2015-01-02 08:13:00,1,99.96,11.34,1.0
2015-01-02 08:34:00,4,739.91,-1.82,1.0
2015-01-02 08:55:00,1,199.95,13.2,1.0
2015-01-02 09:16:00,3,529.93,26.59,0.0
2015-01-02 09:37:00,1,124.95,44.04,1.0
2015-01-02 09:59:00,2,229.99,39.31,0.0
2015-01-02 10:20:00,4,1099.93,-175.21,1.0
2015-01-02 10:41:00,3,549.94,-16.35,1.0
2015-01-02 11:02:00,4,899.94,57.83,0.0
2015-01-02 11:44:00,3,829.92,-149.53,0.0
2015-01-02 12:05:00,3,549.95,48.69,1.0
2015-01-02 12:26:00,3,429.94,44.45,1.0
2015-01-02 12:47:00,1,99.99,-150.18,0.0
2015-01-02 13:08:00,5,1039.95,45.55,0.0
2015-01-02 14:11:00,5,594.93,29.23,1.0
2015-01-02 14:32:00,1,249.9,117.55,0.0
2015-01-02 14:53:00,5,979.88,26.02,0.0
2015-01-02 15:14:00,4,619.87,13.89,0.0
2015-01-02 15:35:00,1,239.96,29.04,1.0
2015-01-02 15:56:00,2,599.96,-464.03,1.0
2015-01-02 16:17:00,5,795.91,47.84,0.0
2015-01-02 16:38:00,4,785.88,27.84,0.0
2015-01-02 16:59:00,3,309.98,30.4,0.0
2015-01-02 17:20:00,3,485.88,49.97,1.0
2015-01-02 17:41:00,4,809.96,79.83,1.0
2015-01-02 18:02:00,4,1029.93,22.39,0.0
2015-01-02 18:23:00,5,939.9,21.62,0.0
2015-01-02 18:44:00,3,529.94,-66.76,0.0
2015-01-02 19:05:00,1,399.98,172.79,1.0
2015-01-02 20:08:00,3,579.97,-16.71,0.0
2015-01-02 20:50:00,1,249.9,-17.57,1.0
2015-01-02 21:11:00,4,629.92,54.82,1.0
2015-01-02 21:32:00,3,824.91,83.37,0.0
2015-01-02 21:53:00,4,614.92,19.7,0.0
2015-01-02 22:14:00,3,639.91,38.31,1.0
2015-01-02 22:35:00,1,59.99,25.66,1.0
2015-01-02 22:56:00,3,209.97,19.36,1.0
2015-01-02 23:17:00,1,299.98,113.39,0.0
2015-01-02 23:38:00,2,599.9,5.99,0.0
2015-01-03 00:20:00,3,509.95,45.93,1.0
2015-01-03 00:41:00,5,1249.9,62.33,1.0
2015-01-03 01:02:00,3,289.96,5.14,0.0
2015-01-03 01:23:00,1,129.99,35.06,1.0
2015-01-03 01:44:00,4,1139.9,48.56,0.0
2015-01-03 02:26:00,3,289.92,-5.33,1.0
2015-01-03 02:48:00,4,629.95,17.38,0.0
2015-01-03 03:09:00,2,429.96,84.1,0.0
2015-01-03 03:30:00,3,479.99,-116.57,0.0
2015-01-03 03:51:00,2,429.87,30.52,0.0
2015-01-03 04:12:00,1,129.99,40.54,1.0
2015-01-03 04:33:00,3,325.96,-22.49,0.0
2015-01-03 04:54:00,5,577.88,24.7,1.0
2015-01-03 05:36:00,4,799.85,39.75,1.0
2015-01-03 05:57:00,1,119.98,10.8,1.0
2015-01-03 06:18:00,1,49.98,3.54,1.0
2015-01-03 06:39:00,1,199.98,-138.59,1.0
2015-01-03 07:00:00,1,399.98,97.0,1.0
2015-01-03 07:21:00,5,1033.81,61.89,1.0
2015-01-03 07:42:00,1,199.98,89.99,1.0
2015-01-03 08:03:00,4,749.97,36.07,0.0
2015-01-03 08:24:00,4,1029.93,-12.37,0.0
2015-01-03 08:45:00,2,159.94,10.0,0.0
2015-01-03 09:06:00,5,1369.81,95.08,1.0
2015-01-03 09:27:00,5,1333.84,63.47,1.0
2015-01-03 09:48:00,4,619.93,24.29,0.0
2015-01-03 10:09:00,4,919.94,91.05,1.0
2015-01-03 10:30:00,2,699.94,23.03,1.0
2015-01-03 11:12:00,5,629.89,-5.17,1.0
2015-01-03 11:33:00,4,1239.87,-13.32,0.0
2015-01-03 11:54:00,5,819.93,51.12,0.0
2015-01-03 12:15:00,1,139.96,20.08,1.0
2015-01-03 12:36:00,4,659.91,68.9,1.0
2015-01-03 12:57:00,2,419.95,70.04,1.0
2015-01-03 13:39:00,4,799.91,66.77,0.0
2015-01-03 14:00:00,2,449.96,48.24,0.0
2015-01-03 14:21:00,1,239.96,84.66,1.0
2015-01-03 14:42:00,5,1029.9,39.1,1.0
2015-01-03 15:03:00,4,514.94,10.16,0.0
2015-01-03 15:24:00,1,399.98,120.51,0.0
2015-01-03 16:06:00,5,699.88,53.55,1.0
2015-01-03 16:27:00,3,539.85,-47.73,1.0
2015-01-03 16:48:00,2,699.96,118.12,0.0
2015-01-03 17:30:00,5,1299.91,45.44,0.0
2015-01-03 17:51:00,3,729.91,30.76,1.0
2015-01-03 18:12:00,3,859.92,75.87,1.0
2015-01-03 18:33:00,1,39.99,9.46,0.0
2015-01-03 18:54:00,4,1151.93,-24.9,1.0
2015-01-03 19:15:00,4,1149.93,-90.57,1.0
2015-01-03 19:36:00,4,699.92,41.62,1.0
2015-01-03 19:58:00,3,577.85,51.21,1.0
2015-01-03 20:19:00,1,239.96,61.77,0.0
2015-01-03 20:40:00,2,379.99,-61.53,0.0
2015-01-03 21:01:00,1,399.96,9.84,0.0
2015-01-03 21:43:00,5,959.86,21.82,1.0
2015-01-03 22:04:00,2,449.82,53.86,0.0
2015-01-03 22:25:00,2,195.99,22.87,0.0
2015-01-03 23:07:00,3,439.91,8.42,1.0
2015-01-03 23:28:00,2,459.97,82.04,1.0
2015-01-03 23:49:00,3,729.96,34.5,0.0
2015-01-04 00:10:00,5,993.89,63.51,0.0
2015-01-04 00:31:00,1,129.99,20.7,0.0
2015-01-04 00:52:00,5,939.93,38.34,1.0
2015-01-04 01:34:00,3,369.94,39.3,0.0
2015-01-04 01:55:00,1,159.96,34.1,0.0
2015-01-04 02:16:00,3,699.93,96.94,0.0
2015-01-04 02:37:00,4,689.82,10.4,1.0
2015-01-04 02:58:00,1,199.99,-60.18,1.0
2015-01-04 03:19:00,4,794.9,47.8,0.0
2015-01-04 04:22:00,2,349.96,12.86,1.0
2015-01-04 04:43:00,4,931.95,65.85,1.0
2015-01-04 05:04:00,5,1059.91,25.36,0.0
2015-01-04 05:25:00,2,519.94,23.04,1.0
2015-01-04 05:46:00,5,779.89,13.99,1.0
2015-01-04 06:07:00,1,39.99,17.85,1.0
2015-01-04 06:28:00,3,529.97,-67.3,1.0
2015-01-04 06:49:00,4,919.93,51.91,1.0
2015-01-04 07:10:00,2,495.93,-12.44,1.0
2015-01-04 07:31:00,5,799.87,9.57,1.0
2015-01-04 07:52:00,4,709.9,49.55,1.0
2015-01-04 08:13:00,1,100.0,29.77,1.0
2015-01-04 08:34:00,4,559.93,-66.79,0.0
2015-01-04 08:55:00,3,351.96,12.55,0.0
2015-01-04 09:37:00,2,89.97,17.08,1.0
2015-01-04 09:58:00,1,399.98,-541.17,1.0
2015-01-04 10:19:00,3,739.91,84.69,0.0
2015-01-04 10:40:00,5,799.91,12.04,0.0
2015-01-04 11:01:00,4,713.89,17.97,0.0
2015-01-04 11:22:00,4,829.88,-27.86,1.0
2015-01-04 11:43:00,4,829.86,74.98,0.0
2015-01-04 12:04:00,3,739.95,72.48,0.0
2015-01-04 12:25:00,3,329.97,44.47,0.0
2015-01-04 12:47:00,5,1179.89,50.57,0.0
2015-01-04 13:08:00,4,679.91,30.07,1.0
2015-01-04 13:29:00,1,399.98,22.68,1.0
2015-01-04 13:50:00,5,1007.93,33.79,0.0
2015-01-04 14:11:00,4,999.92,49.91,1.0
2015-01-04 14:32:00,2,299.91,21.18,0.0
2015-01-04 14:53:00,4,899.97,62.14,1.0
2015-01-04 15:14:00,2,479.92,40.97,1.0
2015-01-04 15:35:00,1,129.99,30.91,0.0
2015-01-04 15:56:00,4,499.96,39.28,0.0
2015-01-04 16:17:00,4,649.95,28.53,0.0
2015-01-04 16:38:00,3,469.98,54.38,1.0
2015-01-04 16:59:00,4,879.81,58.68,1.0
